Java File Name,Lines,Comments,Lines of code,Updated comments,Updated LOC,% of comments
./java/org/assertj/core/presentation/UnicodeRepresentation.java,62,3,59,23,39,37.10
./java/org/assertj/core/util/diff/ChangeDelta.java,70,5,65,31,39,44.29
./java/org/assertj/core/api/AbstractAtomicFieldUpdaterAssert.java,60,2,58,22,38,36.67
./java/org/assertj/core/error/ShouldHaveSameContent.java,78,5,73,40,38,51.28
./java/org/assertj/core/error/uri/ShouldHavePort.java,50,1,49,12,38,24.00
./java/org/assertj/core/api/AbstractFutureAssert.java,163,5,158,126,37,77.30
./java/org/assertj/core/api/SoftAssertionError.java,66,4,62,29,37,43.94
./java/org/assertj/core/error/ShouldBeEqualIgnoringNanos.java,80,5,75,43,37,53.75
./java/org/assertj/core/error/ShouldContainOnlyNulls.java,60,3,57,23,37,38.33
./java/org/assertj/core/error/uri/ShouldHaveQuery.java,49,1,48,12,37,24.49
./java/org/assertj/core/error/uri/ShouldHaveUserInfo.java,49,1,48,12,37,24.49
./java/org/assertj/core/api/AtomicMarkableReferenceAssert.java,99,5,94,63,36,63.64
./java/org/assertj/core/condition/AllOf.java,72,5,67,36,36,50.00
./java/org/assertj/core/condition/AnyOf.java,73,5,68,37,36,50.68
./java/org/assertj/core/groups/FieldsOrPropertiesExtractor.java,76,4,72,40,36,52.63
./java/org/assertj/core/api/Fail.java,101,9,92,66,35,65.35
./java/org/assertj/core/error/ShouldBeEqualWithTimePrecision.java,62,3,59,27,35,43.55
./java/org/assertj/core/extractor/ByNameSingleExtractor.java,47,1,46,12,35,25.53
./java/org/assertj/core/api/AbstractEnumerableAssert.java,93,4,89,59,34,63.44
./java/org/assertj/core/error/ShouldExist.java,58,3,55,24,34,41.38
./java/org/assertj/core/extractor/Extractors.java,79,6,73,45,34,56.96
./java/org/assertj/core/internal/RealNumbers.java,79,5,74,45,34,56.96
./java/org/assertj/core/matcher/AssertionMatcher.java,93,5,88,59,34,63.44
./java/org/assertj/core/util/diff/InsertDelta.java,66,4,62,32,34,48.48
./java/org/assertj/core/util/introspection/MemberUtils.java,75,5,70,41,34,54.67
./java/org/assertj/core/api/NumberAssert.java,299,15,284,266,33,88.96
./java/org/assertj/core/error/ShouldBeEqualIgnoringSeconds.java,79,5,74,46,33,58.23
./java/org/assertj/core/error/ShouldMatch.java,58,3,55,25,33,43.10
./java/org/assertj/core/error/ShouldNotMatch.java,58,3,55,25,33,43.10
./java/org/assertj/core/internal/ComparisonStrategy.java,157,16,141,124,33,78.98
./java/org/assertj/core/api/AtomicReferenceAssert.java,77,3,74,45,32,58.44
./java/org/assertj/core/error/ElementsShouldSatisfy.java,44,1,43,12,32,27.27
./java/org/assertj/core/error/ShouldBeCloseTo.java,66,4,62,34,32,51.52
./java/org/assertj/core/error/ShouldBeEqualIgnoringMinutes.java,78,5,73,46,32,58.97
./java/org/assertj/core/error/ShouldHaveNoParent.java,55,3,52,23,32,41.82
./java/org/assertj/core/internal/CommonErrors.java,44,1,43,12,32,27.27
./java/org/assertj/core/error/OptionalDoubleShouldHaveValueCloseTo.java,64,4,60,33,31,51.56
./java/org/assertj/core/error/ShouldBeDirectory.java,50,2,48,19,31,38.00
./java/org/assertj/core/util/diff/DeleteDelta.java,62,4,58,31,31,50.00
./java/org/assertj/core/util/TextFileWriter.java,47,2,45,16,31,34.04
./java/org/assertj/core/error/ShouldBeEqualByComparingOnlyGivenFields.java,60,3,57,30,30,50.00
./java/org/assertj/core/error/ShouldHaveContent.java,61,4,57,31,30,50.82
./java/org/assertj/core/util/Maps.java,67,4,63,37,30,55.22
./java/org/assertj/core/api/AbstractInputStreamAssert.java,81,4,77,52,29,64.20
./java/org/assertj/core/api/AtomicStampedReferenceAssert.java,80,4,76,51,29,63.75
./java/org/assertj/core/error/OptionalShouldBeEmpty.java,71,6,65,42,29,59.15
./java/org/assertj/core/error/ShouldBeRelativePath.java,51,3,48,22,29,43.14
./java/org/assertj/core/error/ShouldBeToday.java,64,5,59,35,29,54.69
./java/org/assertj/core/util/diff/Patch.java,63,5,58,34,29,53.97
./java/org/assertj/core/api/Java6JUnitBDDSoftAssertions.java,47,2,45,19,28,40.43
./java/org/assertj/core/error/ShouldBeAbsolutePath.java,53,3,50,25,28,47.17
./java/org/assertj/core/error/ShouldHaveBinaryContent.java,57,4,53,29,28,50.88
./java/org/assertj/core/error/ShouldHaveNoFields.java,40,1,39,12,28,30.00
./java/org/assertj/core/error/uri/ShouldHaveAuthority.java,40,1,39,12,28,30.00
./java/org/assertj/core/error/uri/ShouldHaveHost.java,40,1,39,12,28,30.00
./java/org/assertj/core/util/Closeables.java,50,3,47,22,28,44.00
./java/org/assertj/core/api/DoublePredicateAssert.java,77,4,73,50,27,64.94
./java/org/assertj/core/api/IntPredicateAssert.java,77,4,73,50,27,64.94
./java/org/assertj/core/api/JUnitBDDSoftAssertions.java,57,2,55,30,27,52.63
./java/org/assertj/core/api/LongPredicateAssert.java,77,4,73,50,27,64.94
./java/org/assertj/core/error/ClassModifierShouldBe.java,68,6,62,41,27,60.29
./java/org/assertj/core/error/ShouldBeAfter.java,64,5,59,37,27,57.81
./java/org/assertj/core/error/ShouldContainCharSequenceOnlyOnce.java,65,4,61,38,27,58.46
./java/org/assertj/core/internal/BinaryDiffResult.java,51,3,48,24,27,47.06
./java/org/assertj/core/api/HamcrestCondition.java,60,4,56,34,26,56.67
./java/org/assertj/core/error/DescriptionFormatter.java,53,4,49,27,26,50.94
./java/org/assertj/core/error/ShouldContainAnyOf.java,38,1,37,12,26,31.58
./java/org/assertj/core/error/ShouldContainCharSequenceSequence.java,62,4,58,36,26,58.06
./java/org/assertj/core/error/ShouldNotHaveAnyElementsOfTypes.java,45,2,43,19,26,42.22
./java/org/assertj/core/internal/Predicates.java,47,3,44,21,26,44.68
./java/org/assertj/core/error/ShouldBeExecutable.java,50,3,47,25,25,50.00
