Class Name,LOC (from Methods CFG),Number of Methods, Weighed Method Count
org/assertj/core/error/ShouldNotBeEqualIgnoringWhitespace,30,2,2
org/assertj/core/error/ShouldNotBeEqualNormalizingWhitespace,30,2,2
org/assertj/core/error/ShouldNotContainKey,30,2,2
org/assertj/core/error/ShouldNotContainValue,30,2,2
org/assertj/core/error/ShouldNotHave,30,2,2
org/assertj/core/error/ShouldNotMatchPattern,30,2,2
org/assertj/core/error/ShouldStartWithPath,30,2,2
org/assertj/core/api/filter/FilterOperator,29,2,3
org/assertj/core/util/diff/myers/DiffNode,27,2,3
org/assertj/core/error/ShouldHaveNoCause,26,2,2
org/assertj/core/error/future/ShouldBeCancelled,25,2,2
org/assertj/core/error/future/ShouldBeDone,25,2,2
org/assertj/core/error/future/ShouldNotBeCancelled,25,2,2
org/assertj/core/error/future/ShouldNotBeDone,25,2,2
org/assertj/core/error/ShouldBeAnArray,25,2,2
org/assertj/core/error/ShouldBeBlank,25,2,2
org/assertj/core/error/ShouldBeCanonicalPath,25,2,2
org/assertj/core/error/ShouldBeEmpty,25,2,2
org/assertj/core/error/ShouldBeFile,25,2,2
org/assertj/core/error/ShouldBeLowerCase,25,2,2
org/assertj/core/error/ShouldBeNormalized,25,2,2
org/assertj/core/error/ShouldBeNullOrEmpty,25,2,2
org/assertj/core/error/ShouldBeRegularFile,25,2,2
org/assertj/core/error/ShouldBeSymbolicLink,25,2,2
org/assertj/core/error/ShouldBeUpperCase,25,2,2
org/assertj/core/error/ShouldContainNull,25,2,2
org/assertj/core/error/ShouldHaveNoSuppressedExceptions,25,2,2
org/assertj/core/error/ShouldNotBeBlank,25,2,2
org/assertj/core/error/ShouldNotBeSame,25,2,2
org/assertj/core/error/ShouldNotContainNull,25,2,2
org/assertj/core/api/IterableSizeAssert,23,2,2
org/assertj/core/api/MapSizeAssert,23,2,2
org/assertj/core/api/SoftAssertionListAssert,23,2,2
org/assertj/core/extractor/ResultOfExtractor,23,2,2
org/assertj/core/api/DoubleAssert,22,2,2
org/assertj/core/api/FloatAssert,22,2,2
org/assertj/core/api/IntArrayAssert,22,2,2
org/assertj/core/api/LongArrayAssert,22,2,2
org/assertj/core/api/ObjectArrayAssert,22,2,2
org/assertj/core/api/exception/RuntimeIOException,21,2,2
org/assertj/core/internal/InputStreamsException,21,2,2
org/assertj/core/util/introspection/IntrospectionError,21,2,2
